id,listing_url,name,picture_url,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
22886882,https://www.airbnb.com/rooms/22886882,Perfect location! Spacious room with private bath,https://a0.muscache.com/im/pictures/88c6b5a6-53f9-4e73-ac58-5b0a90eb4bb2.jpg?aki_policy=large,South of Market,94158,37.77411,-122.39587,Apartment,Private room,4,1,1,1,$110.00 ,,,$150.00 ,$50.00 ,2,$25.00 
22887918,https://www.airbnb.com/rooms/22887918,Stately German-built Home near Presidio & GG Park!,https://a0.muscache.com/im/pictures/b1e1f89f-7050-44fe-b93f-b26a81e5f1c9.jpg?aki_policy=large,Inner Richmond,94118,37.77804,-122.47174,House,Entire home/apt,8,3.5,4,4,$800.00 ,,,"$2,000.00 ",$150.00 ,1,$0.00 
22903941,https://www.airbnb.com/rooms/22903941,Italianate Victorian 2 BR + Office & Den Nob Hill,https://a0.muscache.com/im/pictures/a7465dca-9071-439d-b531-15e27f0dd68c.jpg?aki_policy=large,Nob Hill,94109,37.79302,-122.41565,House,Entire home/apt,4,2,2,2,$264.00 ,,,"$3,500.00 ",$300.00 ,1,$0.00 
22904891,https://www.airbnb.com/rooms/22904891,"Garden courtyard, Professional apt, 2nd floor",https://a0.muscache.com/im/pictures/8b6e3f4a-6ef5-4e42-ad45-f5f289f1cb36.jpg?aki_policy=large,Mission,94103,37.76566,-122.40696,Apartment,Entire home/apt,2,1,1,1,$95.00 ,,,$0.00 ,$100.00 ,1,$0.00 
22906854,https://www.airbnb.com/rooms/22906854,Mission Studio  w/ Character & Charm,https://a0.muscache.com/im/pictures/c253642f-4538-4b5e-b15d-c51cd3b8014c.jpg?aki_policy=large,Mission,94103,37.76608,-122.41843,Apartment,Entire home/apt,2,1,0,1,$85.00 ,,,$0.00 ,$95.00 ,1,$0.00 
22908548,https://www.airbnb.com/rooms/22908548,Light-Filled Mission Studio!,https://a0.muscache.com/im/pictures/27a6c84b-af1b-4a7a-a1da-3ffb3edb2649.jpg?aki_policy=large,Mission,94103,37.76613,-122.41673,Apartment,Entire home/apt,2,1,0,1,$85.00 ,,,$0.00 ,$95.00 ,1,$0.00 
22926606,https://www.airbnb.com/rooms/22926606,"STUNNING Dream Apartment | Heart of Castro, SF",https://a0.muscache.com/im/pictures/ddef632e-ce6b-4f5b-991a-392755a318db.jpg?aki_policy=large,Castro/Upper Market,94114,37.76053,-122.43429,Condominium,Entire home/apt,4,1,2,2,$300.00 ,,,$250.00 ,$150.00 ,1,$0.00 
22944449,https://www.airbnb.com/rooms/22944449,"Stand-Alone Studio in Potrero Hill, San Francisco",https://a0.muscache.com/im/pictures/b749247e-3909-40e6-9795-fd3db0dbb4ff.jpg?aki_policy=large,Potrero Hill,94107,37.7566,-122.39963,Apartment,Entire home/apt,2,1,0,1,$95.00 ,,,$500.00 ,$200.00 ,1,$0.00 
22944965,https://www.airbnb.com/rooms/22944965,NOPA Victorian Apartment 2BED/2BATH,https://a0.muscache.com/im/pictures/ace44892-983d-469e-b757-467fc68a15cf.jpg?aki_policy=large,Haight Ashbury,94117,37.77401,-122.43951,Apartment,Entire home/apt,4,2,2,2,$156.00 ,,,"$3,000.00 ",$204.00 ,1,$0.00 
22946806,https://www.airbnb.com/rooms/22946806,Hi-Tech Flat steps from Haight & Golden Gate Park!,https://a0.muscache.com/im/pictures/bae20501-0dec-41af-84c7-c3f2a98a50aa.jpg?aki_policy=large,Haight Ashbury,94117,37.76734,-122.4484,Condominium,Entire home/apt,4,1,1,2,$250.00 ,,,,,1,$0.00 
22946959,https://www.airbnb.com/rooms/22946959,Haight-Ashbury Studio one month minimum apt#8,https://a0.muscache.com/im/pictures/66e4f006-aea8-43ce-b022-b05abb659b4e.jpg?aki_policy=large,Haight Ashbury,94117,37.7712,-122.44372,Apartment,Entire home/apt,2,1,0,1,$90.00 ,,,$0.00 ,$150.00 ,1,$0.00 
22953350,https://www.airbnb.com/rooms/22953350,Sunny Mediterranean in Noe Valley,https://a0.muscache.com/im/pictures/93293787-141a-45d9-9bc7-e751ce216101.jpg?aki_policy=large,Noe Valley,94114,37.75369,-122.42864,House,Private room,4,1,2,2,$249.00 ,,,$500.00 ,$120.00 ,1,$0.00 
22959431,https://www.airbnb.com/rooms/22959431,Master bedroom suite in Cole Valley/Haight St area,https://a0.muscache.com/im/pictures/d02e295a-1645-45ca-aeda-b7e816834c99.jpg?aki_policy=large,Haight Ashbury,94117,37.76766,-122.44732,House,Private room,2,1,1,1,$135.00 ,,,$0.00 ,$65.00 ,2,$20.00 
22968438,https://www.airbnb.com/rooms/22968438,Private room with access to deck and backyard,https://a0.muscache.com/im/pictures/0dabca74-de80-4cca-9623-d5b49ad50ab9.jpg?aki_policy=large,Outer Sunset,94116,37.74965,-122.48763,House,Private room,2,2,1,1,$74.00 ,,,$250.00 ,$35.00 ,2,$15.00 
22970151,https://www.airbnb.com/rooms/22970151,Artistic 1BR Apartment in Beautiful Russian Hill,https://a0.muscache.com/im/pictures/56b60f06-6b06-47df-a45e-d0ae4c1922f2.jpg?aki_policy=large,Russian Hill,94109,37.79888,-122.42335,Apartment,Entire home/apt,4,1,1,2,$350.00 ,,,$400.00 ,$130.00 ,2,$25.00 
22970266,https://www.airbnb.com/rooms/22970266,1 Golden Gate Park spacious private rm April’sUCSF,https://a0.muscache.com/im/pictures/9fbfd4aa-8a37-4cae-a5b1-6ad7dcab49d6.jpg?aki_policy=large,Inner Sunset,94122,37.76413,-122.47061,Apartment,Private room,2,1,1,1,$58.00 ,,,$300.00 ,$55.00 ,1,$18.00 
22972549,https://www.airbnb.com/rooms/22972549,Presidio Gem,https://a0.muscache.com/im/pictures/cad6beb4-38b6-4738-b94d-0c20c316715f.jpg?aki_policy=large,Presidio Heights,94118,37.78716,-122.46165,House,Entire home/apt,5,3,3,2,$650.00 ,,,,,1,$0.00 
22972614,https://www.airbnb.com/rooms/22972614,Beautiful Family Friendly Noe Valley Victorian,https://a0.muscache.com/im/pictures/e5c97aca-6b38-4c8d-a587-aab364d820c7.jpg?aki_policy=large,Noe Valley,94114,37.75122,-122.43763,House,Entire home/apt,8,3,3,5,$575.00 ,,,$500.00 ,$150.00 ,5,$25.00 
22980508,https://www.airbnb.com/rooms/22980508,Spacious remodeled home in central neighborhood,https://a0.muscache.com/im/pictures/420dcfae-cfd7-4cac-8602-761999a6eaa2.jpg?aki_policy=large,West of Twin Peaks,94127,37.74069,-122.44607,House,Entire home/apt,9,3.5,3,7,$500.00 ,,,$500.00 ,$225.00 ,6,$25.00 
22981152,https://www.airbnb.com/rooms/22981152,Convenient light-filled apartment with view,https://a0.muscache.com/im/pictures/5676d7ee-c0cc-4dcf-b032-c312b80a1fcb.jpg?aki_policy=large,Bernal Heights,94110,37.74126,-122.42109,Condominium,Entire home/apt,4,1,2,2,$150.00 ,,,$500.00 ,$150.00 ,1,$0.00 
22986895,https://www.airbnb.com/rooms/22986895,Modern Flat in Heart of SoMa,https://a0.muscache.com/im/pictures/a51a2ba2-8cde-4b61-b93d-e82d9a40ccc0.jpg?aki_policy=large,South of Market,94103,37.77778,-122.40732,Condominium,Entire home/apt,6,2,2,2,$525.00 ,,,$350.00 ,$150.00 ,6,$20.00 
22989582,https://www.airbnb.com/rooms/22989582,A7-UCSF/GG Park Quality 20th/UCSF private Rm-Ladon,https://a0.muscache.com/im/pictures/050f3b86-c118-4bdd-949c-a08a90e1891f.jpg?aki_policy=large,Outer Sunset,94122,37.76445,-122.47968,Apartment,Private room,2,1,1,1,$52.00 ,,,,$40.00 ,1,$20.00 
22998690,https://www.airbnb.com/rooms/22998690,"Inner Mission bedroom with skylights, private deck",https://a0.muscache.com/im/pictures/6fa43d94-3dbd-4c30-88dc-9e57a03225b1.jpg?aki_policy=large,Mission,94110,37.75781,-122.4237,Apartment,Private room,1,1,1,1,$100.00 ,,,$500.00 ,$10.00 ,1,$0.00 
23004482,https://www.airbnb.com/rooms/23004482,2 Bedroom Apartment in Pacific Heights,https://a0.muscache.com/im/pictures/8e312ddc-28f8-41c3-b6c8-f00559fe813c.jpg?aki_policy=large,Pacific Heights,94115,37.7905,-122.43682,Apartment,Entire home/apt,4,2,2,2,$248.00 ,,,$500.00 ,$330.00 ,1,$0.00 
23004848,https://www.airbnb.com/rooms/23004848,Well Appointed Studio Next to Hilton SF,https://a0.muscache.com/im/pictures/34ded50a-fdaa-425d-98b2-d02cec44edc1.jpg?aki_policy=large,Downtown/Civic Center,94102,37.78409,-122.41038,Apartment,Entire home/apt,2,1,0,1,$75.00 ,,,$0.00 ,$95.00 ,1,$0.00 
